sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"06/03/2024","8400/000 : FNB","74548584065002707023227","Account Payment","SAGE ACC 4910505225 04 MAR 74548584065002707023227","3160",,"136637.21"
,"07/03/2024","8400/000 : FNB","74143614066000066921505","Account Payment","345.00 FACEBK PQPU 4910505191 05 MAR 74143614066000066921505","345",,"136982.21"
,"07/03/2024","8400/000 : FNB","74007484066246184341240","Account Payment","77.05 CBAPlesk 4910505191 05 MAR 74007484066246184341240","1503.76",,"138485.97"
,"07/03/2024","8400/000 : FNB","24011344066000018908756","Account Payment","15.00 HIGHTAIL 4910505191 06 MAR 24011344066000018908756","292.32",,"138778.29"
,"08/03/2024","8400/000 : FNB","74987504066000113233021","Account Payment","690.00 FACEBK HABDX 4910505191 06 MAR 74987504066000113233021","690",,"139468.29"
,"08/03/2024","8400/000 : FNB","24011344066000058714502","Account Payment","20.00 VERCEL INC. 4910505225 06 MAR 24011344066000058714502","389.76",,"139858.05"
,"08/03/2024","8400/000 : FNB","24011344066000058567868","Account Payment","20.00 VERCEL INC. 4910505225 06 MAR 24011344066000058567868","389.76",,"140247.81"
,"08/03/2024","8400/000 : FNB","74609054066000010244273","Account Payment","19.99 WOOCOMMERCE S 4910505225 06 MAR 74609054066000010244273","389.56",,"140637.37"
,"08/03/2024","8400/000 : FNB","24492164067000013899736","Account Payment","7.00 NPM INC. 4910505191 07 MAR 24492164067000013899736","135.72",,"140773.09"
,"08/03/2024","8400/000 : FNB","24492164067000013874242","Account Payment","7.00 NPM INC. 4910505191 07 MAR 24492164067000013874242","135.72",,"140908.81"
,"08/03/2024","8400/000 : FNB","24492164067000013837579","Account Payment","7.00 NPM INC. 4910505191 07 MAR 24492164067000013837579","135.72",,"141044.53"
